candidate_name,dataset,external_factor_name,scenario_id,top_residual_cell_count,top_residual_mass_share,top_positive_residual_cells_summary,top_negative_residual_cells_summary,residual_concentration_score
sqrt_static_pca_12_external_envelope,fit_external,external_resource_supply,fit_single_external_resource_supply_+1.00,5,0.013634911037230945,,cell937:-0.00194; cell312:-0.001817; cell1062:-0.00165; cell337:-0.001543; cell437:-0.001477,0.049803828510381606
sqrt_static_pca_12_external_envelope,fit_external,external_demand,fit_single_external_demand_-1.00,5,0.015389276905808472,cell363:0.0008355; cell362:0.0008072; cell357:0.0007827; cell488:0.0007375; cell487:0.0007237,,0.05655483566253337
sqrt_static_pca_12_external_envelope,fit_external,external_demand,fit_single_external_demand_-0.50,5,0.014898165800910388,cell357:0.0007344; cell363:0.0006675; cell358:0.000633; cell488:0.0006317,cell1564:-0.0006428,0.05273637526269556
sqrt_static_pca_12_external_envelope,fit_external,external_demand,fit_single_external_demand_+0.50,5,0.01564614047011134,cell337:0.0006758; cell837:0.0006103; cell957:0.0006096; cell333:0.0006052; cell832:0.0005963,,0.05516542884190882
sqrt_static_pca_12_external_envelope,fit_external,external_demand,fit_single_external_demand_+1.00,5,0.02423495829798041,,cell362:-0.001648; cell357:-0.001337; cell363:-0.001214; cell487:-0.001099; cell358:-0.001037,0.11909956354641349
sqrt_static_pca_12_external_envelope,fit_external,external_competition_pressure,fit_single_external_competition_pressure_0.25,5,0.01763182630673167,cell962:0.0008348; cell837:0.0007309,cell1682:-0.0007672; cell1807:-0.0007047; cell1557:-0.0006506,0.06717371803682634
sqrt_static_pca_12_external_envelope,fit_external,external_competition_pressure,fit_single_external_competition_pressure_0.50,5,0.015346429328240046,,cell307:-0.001029; cell1682:-0.001024; cell1807:-0.000981; cell1812:-0.0008794; cell1557:-0.0008482,0.0565414430934637
sqrt_static_pca_12_external_envelope,fit_external,external_competition_pressure,fit_single_external_competition_pressure_0.75,5,0.01383958867364974,,cell307:-0.001366; cell1812:-0.001195; cell1682:-0.001192; cell1807:-0.001184; cell182:-0.001014,0.04809963984157282
sqrt_static_pca_12_external_envelope,fit_external,external_competition_pressure,fit_single_external_competition_pressure_1.00,5,0.013289713339692144,cell1597:0.001439; cell1572:0.001387,cell307:-0.001591; cell1812:-0.001486; cell312:-0.001385,0.04414148809242862
sqrt_static_pca_12_external_envelope,fit_external,external_information_noise,fit_single_external_information_noise_0.25,5,0.014862466587214235,cell307:0.0006057; cell312:0.0005603; cell432:0.000523,cell1589:-0.0006438; cell1564:-0.0005539,0.053008350751123215
sqrt_static_pca_12_external_envelope,fit_external,external_information_noise,fit_single_external_information_noise_0.50,5,0.013989092968155162,cell1812:0.001145; cell1682:0.001113; cell1807:0.001062; cell1687:0.000904,cell1589:-0.0008815,0.05034801176632474
sqrt_static_pca_12_external_envelope,fit_external,external_information_noise,fit_single_external_information_noise_0.75,5,0.014955803699936352,cell1812:0.001838; cell1682:0.001753; cell1807:0.001703; cell1687:0.001446,cell837:-0.001407,0.056694558831613326
sqrt_static_pca_12_external_envelope,fit_external,external_information_noise,fit_single_external_information_noise_1.00,5,0.01549316480447584,cell1812:0.002498; cell1682:0.002363; cell1807:0.002325; cell1687:0.001957,cell837:-0.001987,0.05987472763605464
