axis_id,external_factor_name,scenario_group,response_mean,response_peak,response_slope,response_persistence,fit_response_mean,holdout_response_mean,response_generalization_gap
distribution_shape_06,external_demand,single_sustained_factor,0.4984369845234255,0.5001948774753984,-0.0034048289285286137,0.25,0.4984441148294897,0.0,0.4984441148294897
distribution_shape_06,external_information_noise,pulse_factor,0.4981173987993387,0.5001948774753984,-0.004299683276889954,0.2564102564102564,0.4970398772027429,0.4967841784151125,0.00025569878763037623
distribution_shape_06,external_information_noise,single_sustained_factor,0.4967704968035939,0.5001948774753984,-0.010399461882346472,0.25,0.4970398772027429,0.4967841784151125,0.00025569878763037623
distribution_shape_06,external_information_noise,unseen_factor_intensity,0.49678417841511247,0.5001649490669584,-0.007947504655621718,0.2692307692307692,0.4970398772027429,0.4967841784151125,0.00025569878763037623
distribution_shape_06,external_information_noise+external_constraint_pressure,unseen_compound_combination,0.49723722521631813,0.5001649490669584,-0.006788598389363298,0.2692307692307692,0.0,0.4972372252163181,0.4972372252163181
distribution_shape_06,external_resource_supply,different_reversal_timing,0.49831515502706103,0.5001649490669584,-0.003600174234140663,0.2692307692307692,0.49830113185668373,0.49831515502706103,1.40231703772975e-05
distribution_shape_06,external_resource_supply,reversal_factor,0.4983057611492467,0.5001948774753984,-0.0038027654502119645,0.2564102564102564,0.49830113185668373,0.49831515502706103,1.40231703772975e-05
distribution_shape_06,external_resource_supply,single_sustained_factor,0.49829997453354313,0.5001948774753984,-0.0034798434562550717,0.25,0.49830113185668373,0.49831515502706103,1.40231703772975e-05
distribution_shape_06,external_resource_supply+external_demand,compound_pressure,0.49827749012582184,0.5001948774753984,-0.0038197461313989045,0.2564102564102564,0.49827749012582184,0.0,0.49827749012582184
distribution_shape_06,external_shock,different_pulse_timing,0.49838497639982055,0.5001649490669584,-0.0035123351084326293,0.2692307692307692,0.4984851562717255,0.49838497639982055,0.00010017987190497069
distribution_shape_06,external_shock,pulse_factor,0.49836274024044186,0.5001948774753984,-0.0036680726228252025,0.2564102564102564,0.4984851562717255,0.49838497639982055,0.00010017987190497069
distribution_shape_06,external_shock,single_sustained_factor,0.49851576027954625,0.5016957866153592,0.001348336325010413,0.25,0.4984851562717255,0.49838497639982055,0.00010017987190497069
distribution_shape_06,external_shock+external_constraint_pressure,compound_pressure,0.49838315400056205,0.5001948774753984,-0.0017016687189627122,0.2564102564102564,0.498383154000562,0.4992767265199989,0.0008935725194368915
distribution_shape_06,external_shock+external_constraint_pressure,stronger_shock,0.4992767265199988,0.5030371204737947,0.0027205208853948726,0.2692307692307692,0.498383154000562,0.4992767265199989,0.0008935725194368915
distribution_shape_07,external_competition_pressure,single_sustained_factor,0.5173287039355086,0.5347270589527737,0.02967647449312849,0.25,0.5173287039355087,0.5171844133457681,0.00014429058974052555
distribution_shape_07,external_competition_pressure,unseen_factor_intensity,0.517184413345768,0.5320586969990951,0.03207862435372877,0.2692307692307692,0.5173287039355087,0.5171844133457681,0.00014429058974052555
distribution_shape_07,external_competition_pressure+external_information_noise,compound_pressure,0.515763729796154,0.5283101279861451,0.028173413164407357,0.2564102564102564,0.5157637297961541,0.0,0.5157637297961541
distribution_shape_07,external_constraint_pressure,longer_sustained_factor,0.5426887880261682,0.5837489420453764,0.08378690107717657,0.2619047619047619,0.5234382872080046,0.5426887880261683,0.019250500818163707
distribution_shape_07,external_constraint_pressure,pulse_factor,0.5195591688012352,0.5386215716850772,0.03848485686333947,0.2564102564102564,0.5234382872080046,0.5426887880261683,0.019250500818163707
distribution_shape_07,external_constraint_pressure,single_sustained_factor,0.524408066809697,0.5567254645041415,0.056588749682403794,0.25,0.5234382872080046,0.5426887880261683,0.019250500818163707
distribution_shape_07,external_demand,reversal_factor,0.5181570420044306,0.535055282813383,0.03491856799164528,0.2564102564102564,0.5182607410777296,0.0,0.5182607410777296
distribution_shape_07,external_demand,single_sustained_factor,0.5182866658460542,0.5356636800888077,0.03505361306520083,0.25,0.5182607410777296,0.0,0.5182607410777296
distribution_shape_07,external_information_noise,pulse_factor,0.5182671197845187,0.5352296414234674,0.03509292660172969,0.2564102564102564,0.517295416879449,0.5168818080039139,0.0004136088755350986
distribution_shape_07,external_information_noise,single_sustained_factor,0.5170524911531816,0.534238504828059,0.029903897620879416,0.25,0.517295416879449,0.5168818080039139,0.0004136088755350986
distribution_shape_07,external_information_noise,unseen_factor_intensity,0.5168818080039139,0.5318986865426171,0.0319212376825434,0.2692307692307692,0.517295416879449,0.5168818080039139,0.0004136088755350986
distribution_shape_07,external_information_noise+external_constraint_pressure,unseen_compound_combination,0.5235786744537334,0.5477774405179248,0.047803561260216565,0.2692307692307692,0.0,0.5235786744537334,0.5235786744537334
distribution_shape_07,external_resource_supply,different_reversal_timing,0.5194313639907093,0.5386599651577024,0.038683185999019765,0.2692307692307692,0.5187786238407821,0.5194313639907093,0.0006527401499272223
distribution_shape_07,external_resource_supply,reversal_factor,0.5193505355820044,0.5374549625359542,0.037318247714216435,0.2564102564102564,0.5187786238407821,0.5194313639907093,0.0006527401499272223
distribution_shape_07,external_resource_supply,single_sustained_factor,0.5186356459054766,0.5394244291785517,0.039287714356813996,0.25,0.5187786238407821,0.5194313639907093,0.0006527401499272223
distribution_shape_07,external_resource_supply+external_demand,compound_pressure,0.5176884663018312,0.5330073357533448,0.032870620931607086,0.2564102564102564,0.5176884663018311,0.0,0.5176884663018311
distribution_shape_07,external_shock,different_pulse_timing,0.5181309573310346,0.5347351814834165,0.03475635935225396,0.2692307692307692,0.51622465125496,0.5181309573310348,0.0019063060760747819
distribution_shape_07,external_shock,pulse_factor,0.518019034507158,0.5344524232997836,0.03431570847804588,0.2564102564102564,0.51622465125496,0.5181309573310348,0.0019063060760747819
distribution_shape_07,external_shock,single_sustained_factor,0.5157760554419105,0.5324065113270432,0.02686471811498925,0.25,0.51622465125496,0.5181309573310348,0.0019063060760747819
distribution_shape_07,external_shock+external_constraint_pressure,compound_pressure,0.5198734722264178,0.5378964102778043,0.03775969545606661,0.2564102564102564,0.5198734722264177,0.5174048216597572,0.0024686505666604575
distribution_shape_07,external_shock+external_constraint_pressure,stronger_shock,0.5174048216597571,0.5331327040849904,0.033138510335451565,0.2692307692307692,0.5198734722264177,0.5174048216597572,0.0024686505666604575
distribution_shape_08,external_competition_pressure,single_sustained_factor,0.24909978657221124,0.2790987489354195,0.061778914900692206,0.25,0.24909978657221124,0.2488945652989169,0.00020522127329433704
distribution_shape_08,external_competition_pressure,unseen_factor_intensity,0.2488945652989169,0.27871767873404985,0.06156561678141126,0.2692307692307692,0.24909978657221124,0.2488945652989169,0.00020522127329433704
distribution_shape_08,external_competition_pressure+external_information_noise,compound_pressure,0.24957862871517647,0.28079558779067015,0.06347575375594283,0.2564102564102564,0.24957862871517647,0.0,0.24957862871517647
distribution_shape_08,external_constraint_pressure,longer_sustained_factor,0.26891170761919037,0.3167621676705455,0.09961314889608625,0.2619047619047619,0.24900863347487048,0.26891170761919037,0.019903074144319882
distribution_shape_08,external_constraint_pressure,pulse_factor,0.24879171926423124,0.2784295632964241,0.06110972926169678,0.2564102564102564,0.24900863347487048,0.26891170761919037,0.019903074144319882
distribution_shape_08,external_constraint_pressure,single_sustained_factor,0.24906286202753028,0.2810033688398587,0.06368353480513139,0.25,0.24900863347487048,0.26891170761919037,0.019903074144319882
