axis_id,scenario_id,seed,dataset,response_start,response_peak,response_end,velocity_mean,velocity_peak,acceleration_peak,curvature_mean,curvature_peak,reversal_score,recovery_score,persistence_score,oscillation_score
terrain_interaction_short_payoff_x_friction,fit_single_external_resource_supply_-1.00,1,fit_external,0.0,0.1784917571461021,0.16733696243764576,0.04741163796363961,0.1784917571461021,0.18655975135361072,0.0478852362650429,0.18655975135361072,0.6666666666666666,0.9375052669784452,0.25,0.6666666666666666
terrain_interaction_short_payoff_x_friction,holdout_delayed_reversal_resource,10,holdout_external,0.0,0.17657252280580374,0.16373389516578352,0.04735278761145599,0.17657252280580374,0.18553636635615128,0.04765635645420654,0.18553636635615128,0.6666666666666666,0.927289776252064,0.25,0.6666666666666666
terrain_interaction_short_payoff_x_friction,holdout_long_sustained_constraint,10,holdout_external,0.0,0.37151141634757784,0.37151141634757784,0.019184389337632328,0.1815642028576519,0.19111766647859726,0.010829026428589178,0.19111766647859726,0.15,0.9999999999973084,0.23809523809523808,0.15
terrain_interaction_short_payoff_x_friction,holdout_stronger_shock,10,holdout_external,0.0,0.18441812796069565,0.1710491213329597,0.049446783647107896,0.18441812796069565,0.19306901266423954,0.049250443860897844,0.19306901266423954,0.6666666666666666,0.9275070906721669,0.25,0.6666666666666666
terrain_interaction_short_payoff_x_friction,holdout_unseen_intensity_competition,10,holdout_external,0.0,0.18347818447557232,0.17519991028407594,0.047939114666767174,0.18347818447557232,0.19002800705474154,0.0487123445053959,0.19002800705474154,0.6666666666666666,0.9548814251889799,0.25,0.6666666666666666
terrain_interaction_short_payoff_x_friction,holdout_unseen_intensity_noise,10,holdout_external,0.0,0.17755986644841798,0.1648275879935603,0.04757303622581892,0.17755986644841798,0.18644936476025345,0.047874020732266674,0.18644936476025345,0.6666666666666666,0.9282930387904702,0.25,0.6666666666666666
terrain_interaction_medium_payoff_x_viscosity,fit_single_external_competition_pressure_0.25,0,fit_external,0.0,0.15933615979523763,0.13025010470811763,0.04710555372058941,0.15933615979523763,0.17442532245924097,0.04387939817503191,0.17442532245924097,0.6666666666666666,0.8174547753296185,0.25,0.6666666666666666
terrain_interaction_medium_payoff_x_viscosity,fit_single_external_competition_pressure_0.25,1,fit_external,0.0,0.1609293644813477,0.13138480639796407,0.047618480641182834,0.1609293644813477,0.17628920904040793,0.04436608501878619,0.17628920904040793,0.6666666666666666,0.816412882885495,0.25,0.6666666666666666
terrain_interaction_medium_payoff_x_viscosity,fit_single_external_competition_pressure_0.50,0,fit_external,0.0,0.16612153075385025,0.1359988862609179,0.04906104381169565,0.16612153075385025,0.1816144024616281,0.04561937534606287,0.1816144024616281,0.6666666666666666,0.8186710394669726,0.25,0.6666666666666666
terrain_interaction_medium_payoff_x_viscosity,fit_single_external_competition_pressure_0.50,1,fit_external,0.0,0.16767701950198596,0.1370998998197129,0.049563534796064755,0.16767701950198596,0.18343644735742928,0.046094545846510716,0.18343644735742928,0.6666666666666666,0.8176427528715194,0.25,0.6666666666666666
