axis_id,candidate_name,dataset,correlation_with_positive_residual,correlation_with_negative_residual,correlation_with_residual_energy,residual_peak_alignment,residual_persistence_alignment,holdout_residual_relation,residual_explanation_score
terrain_interaction_short_payoff_x_friction,terrain_interaction_short_payoff_x_friction,fit_external,0.7636250251384222,0.763625025138422,0.5862770030865646,1.0,0.40399686520376143,0.8579620247357184,0.7025414237240091
terrain_interaction_short_payoff_x_friction,terrain_interaction_short_payoff_x_friction,holdout_external,0.8917967470048944,0.8917967470048943,0.8579620247357184,1.0,0.40399686520376143,0.8579620247357184,0.7025414237240091
terrain_interaction_medium_payoff_x_viscosity,terrain_interaction_medium_payoff_x_viscosity,fit_external,0.6809793288918158,0.6809793288918158,0.4853140328330663,0.0,0.32954545454545425,-0.5874483742219156,0.30103326241255685
terrain_interaction_medium_payoff_x_viscosity,terrain_interaction_medium_payoff_x_viscosity,holdout_external,-0.476609066295214,-0.47660906629521377,-0.5874483742219156,0.0,0.32954545454545425,-0.5874483742219156,0.30103326241255685
terrain_interaction_effective_medium_payoff_x_operating_cost,terrain_interaction_effective_medium_payoff_x_operating_cost,fit_external,0.8137745489702204,0.8137745489702201,0.6460034280792737,0.0,0.05446708463949851,-0.5729927211044352,0.26765405062242087
terrain_interaction_effective_medium_payoff_x_operating_cost,terrain_interaction_effective_medium_payoff_x_operating_cost,holdout_external,-0.44293456023151223,-0.4429345602315122,-0.5729927211044352,0.0,0.05446708463949851,-0.5729927211044352,0.26765405062242087
terrain_interaction_route_support_x_cost_reduction_gain,terrain_interaction_route_support_x_cost_reduction_gain,fit_external,0.8550277699679384,0.8550277699679384,0.7046035623746515,1.0,0.5873824451410653,0.7258395941523264,0.5574376748610828
terrain_interaction_route_support_x_cost_reduction_gain,terrain_interaction_route_support_x_cost_reduction_gain,holdout_external,0.8161715852742482,0.8161715852742483,0.7258395941523264,1.0,0.5873824451410653,0.7258395941523264,0.5574376748610828
terrain_interaction_viability_reserve_x_negative_viability_pressure,terrain_interaction_viability_reserve_x_negative_viability_pressure,fit_external,0.6986018515884188,0.6986018515884188,0.7528301249563043,0.0,0.6790752351097178,0.6787672386312631,0.7729928922939302
terrain_interaction_viability_reserve_x_negative_viability_pressure,terrain_interaction_viability_reserve_x_negative_viability_pressure,holdout_external,0.6836669971967303,0.6836669971967303,0.6787672386312631,0.0,0.6790752351097178,0.6787672386312631,0.7729928922939302
terrain_interaction_released_mass_x_release_reallocation_flow,terrain_interaction_released_mass_x_release_reallocation_flow,fit_external,0.6952271805670258,0.6952271805670257,0.7084961284006019,0.0,0.6790752351097178,0.6178861747339969,0.7357587250246169
terrain_interaction_released_mass_x_release_reallocation_flow,terrain_interaction_released_mass_x_release_reallocation_flow,holdout_external,0.6524807903242567,0.6524807903242564,0.6178861747339969,0.0,0.6790752351097178,0.6178861747339969,0.7357587250246169
temporal_response_information_memory,temporal_response_information_memory,fit_external,0.6506696222042415,0.6506696222042411,0.5520615933347104,1.0,0.4956896551724132,0.7265903491484824,0.6123110498357923
temporal_response_information_memory,temporal_response_information_memory,holdout_external,0.8014183763984476,0.8014183763984474,0.7265903491484824,1.0,0.4956896551724132,0.7265903491484824,0.6123110498357923
temporal_response_exploration_option_value,temporal_response_exploration_option_value,fit_external,0.8294398164772085,0.8294398164772087,0.6690160331207161,0.0,0.6790752351097177,0.566428829790389,0.4421236684021067
temporal_response_exploration_option_value,temporal_response_exploration_option_value,holdout_external,0.6829780738819055,0.6829780738819055,0.566428829790389,0.0,0.6790752351097177,0.566428829790389,0.4421236684021067
temporal_response_exploration_net_expected_value,temporal_response_exploration_net_expected_value,fit_external,0.8267848381675708,0.8267848381675706,0.6655332004189788,0.0,0.6790752351097179,0.5499749399327192,0.43036791550578574
temporal_response_exploration_net_expected_value,temporal_response_exploration_net_expected_value,holdout_external,0.6681887887198152,0.6681887887198155,0.5499749399327192,0.0,0.6790752351097179,0.5499749399327192,0.43036791550578574
temporal_response_expected_value_advantage,temporal_response_expected_value_advantage,fit_external,0.7850511836258481,0.7850511836258479,0.6868992999301952,0.0,0.4956896551724133,0.7785725641209401,0.8406579116126364
temporal_response_expected_value_advantage,temporal_response_expected_value_advantage,holdout_external,0.8359796256597866,0.8359796256597863,0.7785725641209401,0.0,0.4956896551724133,0.7785725641209401,0.8406579116126364
temporal_response_last_flow,temporal_response_last_flow,fit_external,0.9071611179625216,0.9071611179625219,0.7771765672057735,0.0,0.6332288401253913,0.7049607377254512,0.6009414867014441
temporal_response_last_flow,temporal_response_last_flow,holdout_external,0.8155979996275697,0.8155979996275697,0.7049607377254512,0.0,0.6332288401253913,0.7049607377254512,0.6009414867014441
external_response_external_resource_supply,external_response_external_resource_supply,fit_external,0.0006869583091326209,0.0006869583091330895,0.0034045213105776758,0.0,0.12649317161823295,-0.22157575889167444,0.018711605842235027
external_response_external_resource_supply,external_response_external_resource_supply,holdout_external,-0.19997718686567695,-0.1999771868656768,-0.22157575889167444,0.0,0.12649317161823295,-0.22157575889167444,0.018711605842235027
external_response_external_demand,external_response_external_demand,fit_external,0.01401573384098565,0.014015733840985882,0.014983407319549719,0.0,0.04650884438389945,0.0,0.0019619715905982234
external_response_external_demand,external_response_external_demand,holdout_external,0.0,0.0,0.0,0.0,0.04650884438389945,0.0,0.0019619715905982234
external_response_external_competition_pressure,external_response_external_competition_pressure,fit_external,0.17679461156851473,0.176794611568515,0.13801817974086175,0.0,0.04251020855581178,-0.22128932699004522,0.10620284138230723
external_response_external_competition_pressure,external_response_external_competition_pressure,holdout_external,-0.19929646616450505,-0.19929646616450492,-0.22128932699004522,0.0,0.04251020855581178,-0.22128932699004522,0.10620284138230723
external_response_external_information_noise,external_response_external_information_noise,fit_external,0.0,0.0,0.0,0.0,0.09312490968493735,-0.22262269175873092,0.04996579345321286
external_response_external_information_noise,external_response_external_information_noise,holdout_external,-0.19987009364290026,-0.1998700936429003,-0.22262269175873092,0.0,0.09312490968493735,-0.22262269175873092,0.04996579345321286
external_response_external_shock,external_response_external_shock,fit_external,0.0,0.0,0.0,0.0,0.09312490968493735,-0.2312929681819405,0.056878395669095236
external_response_external_shock,external_response_external_shock,holdout_external,-0.2140872498826488,-0.21408724988264885,-0.2312929681819405,0.0,0.09312490968493735,-0.2312929681819405,0.056878395669095236
external_response_external_constraint_pressure,external_response_external_constraint_pressure,fit_external,0.0,0.0,0.0,1.0,0.562811904933917,0.7557661512310891,0.820575235048133
external_response_external_constraint_pressure,external_response_external_constraint_pressure,holdout_external,0.792144221115913,0.7921442211159128,0.7557661512310891,1.0,0.562811904933917,0.7557661512310891,0.820575235048133
residual_response_positive_residual_proxy,residual_response_positive_residual_proxy,fit_external,0.9999999999999998,0.9999999999999997,0.967294239939007,1.0,0.8624608150470219,0.9824220592202618,0.9639329015547836
residual_response_positive_residual_proxy,residual_response_positive_residual_proxy,holdout_external,0.9999999999999999,0.9999999999999999,0.9824220592202618,1.0,0.8624608150470219,0.9824220592202618,0.9639329015547836
residual_response_negative_residual_proxy,residual_response_negative_residual_proxy,fit_external,0.9999999999999997,1.0,0.9672942399390072,1.0,0.8624608150470219,0.9824220592202615,0.9639329015547841
residual_response_negative_residual_proxy,residual_response_negative_residual_proxy,holdout_external,0.9999999999999999,1.0,0.9824220592202615,1.0,0.8624608150470219,0.9824220592202615,0.9639329015547841
residual_response_residual_energy_proxy,residual_response_residual_energy_proxy,fit_external,0.9672942399390069,0.9672942399390071,0.9999999999999999,1.0,1.0,1.0,1.0
residual_response_residual_energy_proxy,residual_response_residual_energy_proxy,holdout_external,0.9824220592202617,0.9824220592202615,1.0,1.0,1.0,1.0,1.0
