row_index,distribution_state_id,distribution_group,scenario_split,scenario_id,seed,t,n_bins,cell_count,base_pair_key
74,external_augmented|fit_external|fit_single_external_constraint_pressure_0.25|seed2|t12|n4,external_augmented,fit_external,fit_single_external_constraint_pressure_0.25,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
75,external_augmented|fit_external|fit_single_external_constraint_pressure_0.50|seed0|t12|n4,external_augmented,fit_external,fit_single_external_constraint_pressure_0.50,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
76,external_augmented|fit_external|fit_single_external_constraint_pressure_0.50|seed1|t12|n4,external_augmented,fit_external,fit_single_external_constraint_pressure_0.50,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
77,external_augmented|fit_external|fit_single_external_constraint_pressure_0.50|seed2|t12|n4,external_augmented,fit_external,fit_single_external_constraint_pressure_0.50,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
78,external_augmented|fit_external|fit_single_external_constraint_pressure_0.75|seed0|t12|n4,external_augmented,fit_external,fit_single_external_constraint_pressure_0.75,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
79,external_augmented|fit_external|fit_single_external_constraint_pressure_0.75|seed1|t12|n4,external_augmented,fit_external,fit_single_external_constraint_pressure_0.75,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
80,external_augmented|fit_external|fit_single_external_constraint_pressure_0.75|seed2|t12|n4,external_augmented,fit_external,fit_single_external_constraint_pressure_0.75,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
81,external_augmented|fit_external|fit_single_external_constraint_pressure_1.00|seed0|t12|n4,external_augmented,fit_external,fit_single_external_constraint_pressure_1.00,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
82,external_augmented|fit_external|fit_single_external_constraint_pressure_1.00|seed1|t12|n4,external_augmented,fit_external,fit_single_external_constraint_pressure_1.00,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
83,external_augmented|fit_external|fit_single_external_constraint_pressure_1.00|seed2|t12|n4,external_augmented,fit_external,fit_single_external_constraint_pressure_1.00,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
84,external_augmented|fit_external|fit_pulse_external_shock_t4|seed0|t12|n4,external_augmented,fit_external,fit_pulse_external_shock_t4,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
85,external_augmented|fit_external|fit_pulse_external_shock_t4|seed1|t12|n4,external_augmented,fit_external,fit_pulse_external_shock_t4,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
86,external_augmented|fit_external|fit_pulse_external_shock_t4|seed2|t12|n4,external_augmented,fit_external,fit_pulse_external_shock_t4,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
87,external_augmented|fit_external|fit_pulse_external_information_noise_t4|seed0|t12|n4,external_augmented,fit_external,fit_pulse_external_information_noise_t4,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
88,external_augmented|fit_external|fit_pulse_external_information_noise_t4|seed1|t12|n4,external_augmented,fit_external,fit_pulse_external_information_noise_t4,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
89,external_augmented|fit_external|fit_pulse_external_information_noise_t4|seed2|t12|n4,external_augmented,fit_external,fit_pulse_external_information_noise_t4,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
90,external_augmented|fit_external|fit_pulse_external_constraint_pressure_t4|seed0|t12|n4,external_augmented,fit_external,fit_pulse_external_constraint_pressure_t4,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
91,external_augmented|fit_external|fit_pulse_external_constraint_pressure_t4|seed1|t12|n4,external_augmented,fit_external,fit_pulse_external_constraint_pressure_t4,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
92,external_augmented|fit_external|fit_pulse_external_constraint_pressure_t4|seed2|t12|n4,external_augmented,fit_external,fit_pulse_external_constraint_pressure_t4,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
93,external_augmented|fit_external|fit_reversal_resource_supply|seed0|t12|n4,external_augmented,fit_external,fit_reversal_resource_supply,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
94,external_augmented|fit_external|fit_reversal_resource_supply|seed1|t12|n4,external_augmented,fit_external,fit_reversal_resource_supply,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
